"TEAM"	"PCT"	"Player"	"Pos"	"Age"	"GP"	"PER"
"13677"	"memphis grizzlies"	0.280487804878049	"Pau Gasol"	"C"	21	82	19.5
"13780"	"golden state warriors"	0.25609756097561	"Troy Murphy"	"PF"	21	82	10.3
"13817"	"phoenix suns"	0.536585365853659	"Alton Ford"	"PF"	21	11	-2.2
"13871"	"cleveland cavaliers"	0.207317073170732	"Carlos Boozer"	"PF"	21	81	17.9
"13923"	"cleveland cavaliers"	0.207317073170732	"DeSagana Diop"	"PF"	21	80	6.7
"13969"	"golden state warriors"	0.463414634146341	"Gilbert Arenas"	"PG"	21	82	18.6
"14010"	"chicago bulls"	0.365853658536585	"Jay Williams"	"PG"	21	75	12.2
"14050"	"denver nuggets"	0.207317073170732	"Kenny Satterfield"	"PG"	21	22	5.2
"14147"	"portland trail blazers"	0.609756097560976	"Qyntel Woods"	"PF"	21	53	11.2
"14224"	"houston rockets"	0.524390243902439	"Tito Maddox"	"SG"	21	9	11.2
"14246"	"denver nuggets"	0.207317073170732	"Vincent Yarbrough"	"SG"	21	59	9.5
"14347"	"los angeles clippers"	0.341463414634146	"Chris Kaman"	"C"	21	82	9.6
"14614"	"utah jazz"	0.51219512195122	"Mo Williams"	"SG"	21	57	9.4
"14737"	"san antonio spurs"	0.695121951219512	"Tony Parker"	"PG"	21	75	15.7
"14823"	"chicago bulls"	0.573170731707317	"Ben Gordon"	"SG"	21	82	14.9
"14927"	"atlanta hawks"	0.158536585365854	"Donta Smith"	"SG"	21	38	10.6
"14992"	"charlotte hornets"	0.219512195121951	"Jamal Sampson"	"PF"	21	23	11.6
"15036"	"atlanta hawks"	0.158536585365854	"Josh Childress"	"SG"	21	80	15.2
"15063"	"sacramento kings"	0.609756097560976	"Kevin Martin"	"PG"	21	45	8.7
"15220"	"cleveland cavaliers"	0.51219512195122	"Sasha Pavlovic"	"SG"	21	65	9
"15312"	"boston celtics"	0.402439024390244	"Al Jefferson"	"PF"	21	59	16.2
"15331"	"milwaukee bucks"	0.48780487804878	"Andrew Bogut"	"PF"	21	82	15.2
"15386"	"denver nuggets"	0.536585365853659	"Carmelo Anthony"	"SF"	21	80	22
"15392"	"toronto raptors"	0.329268292682927	"Charlie Villanueva"	"PF"	21	81	16.4
"15437"	"utah jazz"	0.5	"Deron Williams"	"PG"	21	80	12.4
"15668"	"new york knicks"	0.280487804878049	"Nate Robinson"	"PG"	21	72	12.6
"15901"	"new orleans pelicans"	0.475609756097561	"Chris Paul"	"PG"	21	64	22
"15917"	"milwaukee bucks"	0.341463414634146	"Damir Markota"	"PF"	21	30	5
"16004"	"san antonio spurs"	0.707317073170732	"Jackie Butler"	"C"	21	11	9.6
"16059"	"atlanta hawks"	0.365853658536585	"Josh Smith"	"SF"	21	72	18.3
"16086"	"toronto raptors"	0.573170731707317	"Kris Humphries"	"PF"	21	60	13.5
"16121"	"brooklyn nets"	0.5	"Marcus Williams"	"PG"	21	79	11.5
"16234"	"boston celtics"	0.292682926829268	"Sebastian Telfair"	"PG"	21	78	8.6
"16238"	"cleveland cavaliers"	0.609756097560976	"Shannon Brown"	"SG"	21	23	7.5
"16241"	"los angeles clippers"	0.48780487804878	"Shaun Livingston"	"PG"	21	54	13.7
"16276"	"orlando magic"	0.48780487804878	"Trevor Ariza"	"SG"	21	57	16.2
"16412"	"minnesota timberwolves"	0.268292682926829	"Corey Brewer"	"SF"	21	79	8.3
"16534"	"philadelphia 76ers"	0.48780487804878	"Jason Smith"	"PF"	21	76	10.7
"16559"	"los angeles lakers"	0.695121951219512	"Jordan Farmar"	"PG"	21	82	15.4
"16602"	"utah jazz"	0.658536585365854	"Kyrylo Fesenko"	"C"	21	9	4
"16646"	"portland trail blazers"	0.5	"Martell Webster"	"SF"	21	75	12
"16696"	"golden state warriors"	0.585365853658537	"Patrick O'Bryant"	"C"	21	24	14
"16712"	"boston celtics"	0.804878048780488	"Rajon Rondo"	"PG"	21	77	15.6
"16861"	"los angeles lakers"	0.792682926829268	"Andrew Bynum"	"C"	21	50	20
"17022"	"boston celtics"	0.75609756097561	"Henry Walker"	"SF"	21	29	10.9
"17095"	"new orleans pelicans"	0.597560975609756	"Julian Wright"	"SF"	21	54	12.6
"17338"	"new york knicks"	0.390243902439024	"Wilson Chandler"	"SF"	21	82	12.9
"17430"	"houston rockets"	0.51219512195122	"Chase Budinger"	"SF"	21	74	14.1
"17916"	"milwaukee bucks"	0.426829268292683	"Brandon Jennings"	"PG"	21	63	15.6
"17992"	"toronto raptors"	0.268292682926829	"DeMar DeRozan"	"SG"	21	82	14.5
"18205"	"cleveland cavaliers"	0.231707317073171	"Manny Harris"	"SG"	21	54	10.4
"18266"	"houston rockets"	0.524390243902439	"Patrick Patterson"	"PF"	21	52	16.7
"18513"	"los angeles lakers"	0.621212121212121	"Darius Morris"	"PG"	21	19	5.2
"18524"	"sacramento kings"	0.333333333333333	"DeMarcus Cousins"	"C"	21	64	21.7
"18586"	"utah jazz"	0.545454545454545	"Gordon Hayward"	"SF"	21	66	15.5
"18588"	"detroit pistons"	0.378787878787879	"Greg Monroe"	"C"	21	66	22
"18603"	"new york knicks"	0.545454545454545	"Iman Shumpert"	"PG"	21	59	10.8
"18694"	"charlotte hornets"	0.106060606060606	"Kemba Walker"	"PG"	21	66	14.9
"18799"	"indiana pacers"	0.636363636363636	"Paul George"	"SG"	21	66	16.5
"18855"	"washington wizards"	0.303030303030303	"Shelvin Mack"	"PG"	21	64	11.9
"18889"	"los angeles clippers"	0.606060606060606	"Trey Thompkins"	"C"	21	24	12
"19042"	"minnesota timberwolves"	0.378048780487805	"Derrick Williams"	"PF"	21	78	14.5
"19050"	"cleveland cavaliers"	0.292682926829268	"Dion Waiters"	"SG"	21	61	13.7
"19138"	"dallas mavericks"	0.5	"Jared Cunningham"	"SG"	21	8	14.8
"19222"	"detroit pistons"	0.353658536585366	"Khris Middleton"	"SG"	21	27	11.4
"19326"	"oklahoma city thunder"	0.731707317073171	"Perry Jones"	"SF"	21	38	7.8
"19389"	"houston rockets"	0.548780487804878	"Terrence Jones"	"PF"	21	19	17.1
"19493"	"charlotte hornets"	0.524390243902439	"Bismack Biyombo"	"C"	21	77	13.3
"19610"	"denver nuggets"	0.439024390243902	"Evan Fournier"	"SG"	21	76	10.3
"19949"	"detroit pistons"	0.353658536585366	"Tony Mitchell"	"PF"	21	21	18.1
"20175"	"minnesota timberwolves"	0.195121951219512	"Glenn Robinson"	"SG"	21	25	8.2
